**1. Content (Ideas and Development)**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Exhibits a *complete lack* of organization.**  There is no discernible sequence or pattern; content, if any, appears as a random jumble. <br> - **The writing is *too brief to even evaluate* for intentional structure; it is structurally nonexistent.** <br> - **Details (if any) are presented in a completely random and incoherent manner, lacking any apparent purpose or connection.** <br> **Example:** *A string of words with no logical order, like "Run park dog happy home." or just the word "Story."* |
| **Emerging (2)** | - **Presents a *barely discernible* sequence of events or details, often *randomly ordered*.**  Organization is *extremely weak* and feels like a *disconnected list*. <br> - **Structure *does not support* the topic or purpose and actively *hinders* understanding.**  The order of information is *confusing and illogical*. <br> - **Opening and closing are *either absent or completely rudimentary*, offering no setup or conclusion.**  They may simply be the first and last word written. <br> - **Transitions are *entirely absent or illogical*, creating abrupt shifts and *disrupting any potential flow*.** <br> **Example:** *"Dog park I went.  Sunny day.  Home time."* -  Hints at a sequence, but order is illogical and disjointed, like random notes. |
| **Proficient (3)** | - **Organizes events or details, often using a simple chronological structure (telling events in time order).** The structure is functional but may feel predictable or formulaic, like a simple list of events. <br> - **Includes a basic opening that introduces the topic and a closing that provides a minimal sense of completion.** These elements may be simple and undeveloped. <br> - **Relies on basic and sometimes repetitive transitions** (e.g., "then," "next," "so") to connect ideas. <br> - **Structure is present but may feel mechanical or predictable.** <br> **Example:** *"First, I got ready to go to the park. Then, my mom drove me. Next, we arrived and I saw dogs.  Finally, we went home."* - Clearer chronology but still very basic. |
| **Experienced (4)** | - **Presents a clear and logical organization that effectively develops the central idea.**  The structure enhances the reader's understanding and follows a recognizable pattern (e.g., chronological, cause/effect, problem/solution). <br> - **Includes a clear opening that sets up the topic and a closing that provides a sense of resolution or summary.** These elements contribute to the unity of the piece. <br> - **Uses transitions effectively to connect events and ideas smoothly.** Transitions guide the reader through the writing. <br> - **Details and events are arranged purposefully to create a cohesive whole.**  <br> **Example:** *"To get to the dog park, we first had to gather our things: leash, water, and a ball.  The drive felt long because I was so excited.  When we arrived, the sound of barking and happy yelps filled the air.  After an hour of playing, we were all tired but happy to head home."* -  More purposeful structure with cause/effect elements (excitement making the drive feel long). |
| **Exceptional (5)** | - **Presents a sophisticated and purposeful organization that skillfully drives the writing forward.** The structure is seamless and enhances the overall impact and meaning. <br> - **Includes a compelling opening that grabs the reader's attention and effectively introduces the central idea.**  The closing provides a satisfying sense of closure and may reinforce the main idea in a memorable way. <br> - **Utilizes varied and effective transitions to create a smooth and engaging flow.** Transitions are not just functional but also contribute to the style and tone of the writing. <br> - **Structure is thoughtfully crafted and contributes significantly to the overall effectiveness and artistry of the piece.**  The organization may be creative or unexpected in a way that enhances the writing. <br> **Example:** *"The anticipation started before we even left the house.  Gathering the leash and ball was like preparing for an adventure.  The car ride, usually mundane, stretched out, each minute an eternity in my eagerness.  Then, we arrived, and it was like stepping into a different world.  A cacophony of joyful barks erupted, a symphony of canine glee.  Sunlight dappled through the trees, illuminating dogs of every shape and size chasing, wrestling, and simply being gloriously, unapologetically dog.  Leaving was bittersweet, a gentle return to quiet, but the memory of that vibrant dog world lingered, a warm echo in the silence."* -  Structure builds anticipation and uses sensory details to create a vivid experience. |

**3. Stance (Voice and Tone)**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Demonstrates *absolutely no* discernible voice or personal perspective.** The writing is completely flat, impersonal, and robotic to the point of being non-communicative. <br> - **Tone is entirely absent or, if inadvertently suggested, is completely and bizarrely inappropriate for any conceivable topic or audience.** <br> - **Reader receives *no* sense whatsoever of the writer's individual personality, feelings, or even human presence.** <br> **Example:** *Writing that sounds like random words picked from a dictionary, or just a list of nouns with no context.* |
| **Emerging (2)** | - **Presents a *faint whisper* of voice, if at all, and *no consistent personal perspective*.**  Voice may *flicker briefly* or be *completely absent*. <br> - **Tone is *barely perceptible* or *extremely vague*, and *largely inappropriate* for the topic and audience.** <br> - ***Minimal to no* sense of writer's perspective or engagement with the topic; writing feels detached and impersonal.** <br> **Example:** *Writing that uses "I" but sounds like a generic statement read from a script, devoid of feeling or individuality.* |
| **Proficient (3)** | - **Demonstrates a basic tone that is generally consistent but may be somewhat generic or repetitive.** Tone may be appropriate for the topic but lacks nuance. <br> - **Voice is present but may be underdeveloped and lack distinctiveness.** The writing may sound like it could have been written by anyone. <br> - **Minimally adequate for purpose and audience, but lacks engagement or personality.** <br> **Example:** *Writing that expresses a general feeling (e.g., "happy," "sad") but without specific or vivid language to convey it.* |
| **Experienced (4)** | - **Adequately demonstrates a clear and recognizable voice.** Voice is consistent and appropriate for the topic and audience. <br> - **Develops a tone that is convincingly conveyed and contributes to the overall message or story.** Tone enhances the reader's experience. <br> - **Shows awareness of audience and purpose through appropriate voice and tone choices.**  <br> **Example:** *Writing that sounds like it comes from a specific person with a clear point of view, even if not highly distinctive.* |
| **Exceptional (5)** | - **Powerfully and consistently demonstrates a strong, distinctive, and engaging voice.** Voice is authentic, compelling, and captivates the reader. <br> - **Skillfully crafts a tone that is nuanced, purposeful, and enhances the overall impact and artistry of the writing.** Tone may be playful, serious, humorous, or reflective, and is always effectively controlled. <br> - **Exhibits a strong sense of personal investment and connection to the topic, creating a meaningful experience for the reader.** <br> **Example:** *Writing that is immediately identifiable as belonging to a specific writer, with a unique and memorable voice that resonates with the reader.* |

**4. Word Choice (Diction)**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Relies on an *extremely limited and rudimentary* vocabulary, often using only the most basic, monosyllabic, and general words, if any words are present at all.** Word choices are *uniformly* vague and lack any semblance of precision. <br> - **Words, if used, are so simple and generic they fail to create *any* impact, imagery, or meaning.** <br> - **Meaning is *completely obscured or nonexistent* due to the extreme weakness and inadequacy of word choices.** <br> **Example:** *Repetitive use of words like "is," "a," "the," or just listing single, unconnected nouns.* |
| **Emerging (2)** | - **Relies on an *extremely limited* vocabulary of *basic, high-frequency words*.** Word choices are *consistently simple, generic, and imprecise*. <br> - **Vocabulary is *severely restricted*, hindering clear communication and *lacking any descriptive power*.** <br> - ***No* descriptive language or imagery is present; word choices are flat and functional at best.** <br> **Example:** *Using only words like "go," "see," "good," "bad," "thing," with no variation or more specific alternatives.* |
| **Proficient (3)** | - **Utilizes words and expressions that are sometimes clear and precise, demonstrating an adequate vocabulary for basic communication.** <br> - **Includes some stronger verbs and more descriptive nouns, but may also rely on bland verbs and commonplace nouns.** <br> - **Vocabulary is functional but lacks variety, vividness, and impact.** <br> **Example:** *Using words like "run," "jump," "house," "tree," which are functional but not particularly evocative.* |
| **Experienced (4)** | - **Utilizes mostly clear and often precise language, demonstrating a good working vocabulary.** <br> - **Includes verbs that are generally active and occasionally more descriptive or evocative.** <br> - **Shows some awareness of word choice to create imagery or convey meaning, but could be more consistent and impactful.** <br> - **Vocabulary is generally effective but may not always be consistently powerful or vivid.** <br> **Example:** *Using words like "sprint," "leap," "cottage," "oak," showing some improvement in specificity and imagery.* |
| **Exceptional (5)** | - **Utilizes powerful, vivid, and precise words and expressions consistently and purposefully.** Demonstrates a rich and varied vocabulary. <br> - **Word choices are natural, not forced or overdone, and enhance the meaning and tone of the writing.** <br> - **Creates strong and evocative imagery through carefully chosen nouns, verbs, adjectives, and adverbs.** <br> - **Vocabulary is sophisticated and contributes significantly to the overall effectiveness and artistry of the piece.**  May include figurative language (metaphors, similes) used effectively. <br> **Example:** *Using words like "bolt," "catapult," "ramshackle cabin," "ancient sentinel oak," creating strong imagery and a more sophisticated tone.* |

**5. Sentence Fluency**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Sentences are *virtually nonexistent* or are so fragmented, incomplete, rambling, or awkward as to be incomprehensible.** <br> - **Phrasing is *utterly disjointed and nonsensical*, conveying no coherent thought.**  <br> - ***No* discernible rhythm, flow, or sentence structure is present.** <br> - **Sentence structure is *completely absent or so fundamentally flawed* as to be grammatically meaningless.** <br> **Example:** *Isolated words, sentence fragments that make no sense, or run-on strings of words without punctuation or grammatical structure.* |
| **Emerging (2)** | - **Sentences are *frequently flawed and awkward*, often *incomplete or run-on*, creating *significant confusion*.** <br> - **Phrasing is *consistently unnatural and choppy*, making reading difficult and *disrupting any sense of flow*.** <br> - **Sentence structure is *extremely limited and repetitive*, often consisting of *simple, formulaic patterns*.** <br> - **Flow is *severely disrupted* by sentence-level problems; reading is halting and disjointed.** <br> **Example:** *Many sentence fragments, run-on sentences with no conjunctions or punctuation, or strings of short, simple sentences with identical structure.* |
| **Proficient (3)** | - **Exhibits some mechanical phrasing and limited variation in sentence structure.** Sentences are primarily simple and declarative, often following a subject-verb-object pattern. <br> - **May rely heavily on basic sentence structures and connectives, resulting in a somewhat choppy or predictable rhythm.** <br> - **Sentence structure is generally clear but lacks sophistication and grace.** <br> - **Flow is present but may be uneven or halting.** <br> **Example:** *Series of short, simple sentences with similar structure, connected with "and" or "then."* |
| **Experienced (4)** | - **Demonstrates effective rhythm, cadence, and phrasing, resulting in sentences that mostly flow smoothly and logically.** <br> - **Includes some variety in sentence structure, incorporating some longer and shorter sentences, and perhaps some introductory phrases or clauses.** <br> - **Sentences are generally clear, logical, and well-constructed, contributing to the overall readability of the piece.** <br> - **Flow is generally smooth and engaging, though may not be consistently sophisticated.** <br> **Example:** *Mix of simple and compound sentences, with some variation in sentence beginnings, creating a more natural flow.* |
| **Exceptional (5)** | - **Offers an effective and deliberate variety of sentence lengths and structures, including long and short sentences, questions, exclamations, and fragments used purposefully for effect.** <br> - **Sentences flow naturally and rhythmically from one idea to the next, creating a pleasing and engaging reading experience.** <br> - **Skillfully uses sentence structure to emphasize key ideas, create rhythm and pacing, and enhance the overall tone and style of the writing.** <br> - **Demonstrates a sophisticated command of sentence fluency, contributing significantly to the artistry and impact of the piece.**  <br> **Example:** *Masterful control of sentence length and structure to create a dynamic and engaging rhythm, mimicking natural speech patterns or creating specific emotional effects.* |

**6. Conventions**

| Score | Descriptor |
|---|---|
| **Beginning (1)** | - **Exhibits *pervasive and overwhelming* errors in basic conventions (spelling, punctuation, capitalization, grammar) that *completely undermine readability and understanding* to the point of being virtually incomprehensible.** <br> - **Demonstrates *utterly no* control over even the most fundamental conventions.** <br> - **Errors are so numerous and severe that they *entirely distract* the reader and make it *impossible* to follow any potential ideas.** <br> **Example:** *Errors in nearly every word, random capitalization, no punctuation, and fundamental grammatical errors throughout, rendering the text largely unintelligible.* |
| **Emerging (2)** | - **Contains *pervasive and highly distracting* errors in basic conventions that *significantly disrupt* readability and understanding.** <br> - **Demonstrates *extremely limited and inconsistent* control over basic conventions.** <br> - **Errors *frequently impede* comprehension and include *fundamental* issues with sentence boundaries, capitalization, punctuation, and basic grammar.**  Requires *extensive and significant* editing to be even partially clear. <br> **Example:** *Consistent run-on sentences and sentence fragments, missing or incorrect end punctuation in almost every sentence, frequent spelling errors of even very common words, basic subject-verb agreement errors.* |
| **Proficient (3)** | - **Displays reasonable control over a limited range of basic conventions.** Errors are present but do not consistently impede understanding. <br> - **May exhibit errors in more complex punctuation or grammatical structures, but generally handles basic conventions adequately.** <br> - **Requires moderate editing to refine conventions, but the writing is generally understandable.** <br> - **Spelling is mostly accurate; basic punctuation (periods, commas) is generally correct.** <br> **Example:** *Occasional comma splices, some apostrophe errors, a few spelling errors, but the overall meaning is clear.* |
| **Experienced (4)** | - **Exhibits good control over a wide range of conventions, with only occasional minor errors.** Errors are infrequent and do not detract from readability. <br> - **Demonstrates consistent accuracy in spelling, punctuation, capitalization, and basic grammar.** <br> - **Requires minimal editing to correct minor errors and polish conventions.** <br> - **Paragraphing is generally correct and supports organization.** <br> **Example:** *Very few errors, perhaps a missed comma or a minor grammatical slip, easily corrected with a quick proofread.* |
| **Exceptional (5)** | - **Demonstrates outstanding and consistent control over a wide range of conventions, exhibiting near error-free writing.** <br> - **May intentionally and effectively manipulate conventions for stylistic effect (e.g., using fragments, unconventional punctuation for emphasis) while maintaining clarity.** <br> - **Uses paragraphing purposefully to enhance meaning and organization.** <br> - **Conventions enhance the readability and professionalism of the writing.**  Requires minimal to no editing. <br> **Example:** *Writing that is polished and professional, with flawless or near-flawless execution of conventions, and potentially showing deliberate and effective stylistic choices with conventions.* |
